algorithm,board_size,elapsed_time,steps,path_found,total_cost
BFS,"(25, 25)",0.6715455055236816,392,True,74.0
BFS,"(25, 25)",0.6351752281188965,375,True,130.0
BFS,"(25, 25)",0.599808931350708,334,True,101.0
BFS,"(25, 25)",0.726851224899292,426,True,96.0
BFS,"(25, 25)",0.5737998485565186,314,True,100.0
BFS,"(25, 25)",0.6265838146209717,350,True,74.0
BFS,"(25, 25)",0.6171844005584717,351,True,100.0
BFS,"(25, 25)",0.693598747253418,401,True,97.0
BFS,"(25, 25)",0.5486853122711182,312,True,110.0
BFS,"(25, 25)",0.5931034088134766,351,True,107.0
BFS,"(25, 25)",0.5528948307037354,326,True,99.0
BFS,"(25, 25)",0.691279411315918,406,True,105.0
BFS,"(25, 25)",0.6302056312561035,362,True,119.0
BFS,"(25, 25)",0.8312864303588867,484,True,129.0
BFS,"(25, 25)",0.775015115737915,449,True,107.0
BFS,"(25, 25)",0.6433510780334473,371,True,82.0
BFS,"(25, 25)",0.8302996158599854,485,True,99.0
BFS,"(25, 25)",0.5268499851226807,304,True,84.0
BFS,"(25, 25)",0.744544506072998,435,True,76.0
BFS,"(25, 25)",0.7633891105651855,439,True,75.0
BFS,"(25, 25)",0.8210327625274658,482,True,114.0
BFS,"(25, 25)",0.7119379043579102,418,True,94.0
BFS,"(25, 25)",0.6381442546844482,356,True,inf
BFS,"(25, 25)",0.8461236953735352,498,True,92.0
BFS,"(25, 25)",0.7200889587402344,421,True,124.0
BFS,"(25, 25)",0.5734109878540039,320,True,131.0
BFS,"(25, 25)",0.8990757465362549,516,True,103.0
BFS,"(25, 25)",0.5847771167755127,343,True,100.0
BFS,"(25, 25)",0.5203158855438232,303,True,83.0
BFS,"(25, 25)",0.5157878398895264,290,True,inf
BFS,"(25, 25)",0.8313829898834229,491,True,105.0
BFS,"(25, 25)",0.40004897117614746,224,True,91.0
BFS,"(25, 25)",0.7222433090209961,418,True,73.0
BFS,"(25, 25)",0.8292741775512695,487,True,98.0
BFS,"(25, 25)",0.7723844051361084,449,True,98.0
BFS,"(25, 25)",0.8693554401397705,503,True,93.0
BFS,"(25, 25)",0.7848436832427979,460,True,92.0
BFS,"(25, 25)",0.45584583282470703,258,True,87.0
BFS,"(25, 25)",0.528120756149292,298,True,81.0
BFS,"(25, 25)",0.6630101203918457,378,True,90.0
BFS,"(25, 25)",0.6928009986877441,387,True,92.0
BFS,"(25, 25)",0.6333272457122803,367,True,102.0
BFS,"(25, 25)",0.5125494003295898,296,True,107.0
BFS,"(25, 25)",0.6113533973693848,346,True,105.0
BFS,"(25, 25)",0.7900512218475342,468,True,79.0
BFS,"(25, 25)",0.8494644165039062,479,True,84.0
BFS,"(25, 25)",0.963820219039917,564,True,115.0
BFS,"(25, 25)",0.8534691333770752,502,True,107.0
BFS,"(25, 25)",0.7039997577667236,412,True,99.0
BFS,"(25, 25)",0.8127317428588867,482,True,86.0
